Date,Open,High,Low,Close,Adj Close,Volume
2023-02-03,148.029999,157.380005,147.830002,154.500000,153.641205,154357300
2023-02-06,152.570007,153.100006,150.779999,151.729996,150.886612,69858300
2023-02-07,150.639999,155.229996,150.639999,154.649994,153.790359,83322600
2023-02-08,153.880005,154.580002,151.169998,151.919998,151.075546,64120100
2023-02-09,153.779999,154.330002,150.419998,150.869995,150.031372,56007100
2023-02-10,149.460007,151.339996,149.220001,151.009995,150.399887,57450700
2023-02-13,150.949997,154.259995,150.919998,153.850006,153.228439,62199000
2023-02-14,152.119995,153.770004,150.860001,153.199997,152.581055,61707600
2023-02-15,153.110001,155.500000,152.880005,155.330002,154.702454,65573800
2023-02-16,153.509995,156.330002,153.350006,153.710007,153.088989,68167900
2023-02-17,152.350006,153.000000,150.850006,152.550003,151.933685,59144100
2023-02-21,150.199997,151.300003,148.410004,148.479996,147.880127,58867200
2023-02-22,148.869995,149.949997,147.160004,148.910004,148.308380,51011300
2023-02-23,150.089996,150.339996,147.240005,149.399994,148.796402,48394200
2023-02-24,147.110001,147.190002,145.720001,146.710007,146.117279,55469600
2023-02-27,147.710007,149.169998,147.449997,147.919998,147.322388,44998500
2023-02-28,147.050003,149.080002,146.830002,147.410004,146.814453,50547000
2023-03-01,146.830002,147.229996,145.009995,145.309998,144.722946,55479000
2023-03-02,144.380005,146.710007,143.899994,145.910004,145.320526,52238100
2023-03-03,148.039993,151.110001,147.330002,151.029999,150.419830,70732300
2023-03-06,153.789993,156.300003,153.460007,153.830002,153.208527,87558000
2023-03-07,153.699997,154.029999,151.130005,151.600006,150.987534,56182000
2023-03-08,152.809998,153.470001,151.830002,152.869995,152.252396,47204800
2023-03-09,153.559998,154.539993,150.229996,150.589996,149.981598,53833600
2023-03-10,150.210007,150.940002,147.610001,148.500000,147.900040,68572400
2023-03-13,147.809998,153.139999,147.699997,150.470001,149.862091,84457100
2023-03-14,151.279999,153.399994,150.100006,152.589996,151.973526,73695900
2023-03-15,151.190002,153.250000,149.919998,152.990005,152.371902,77167900
2023-03-16,152.160004,156.460007,151.639999,155.850006,155.220352,76161100
2023-03-17,156.080002,156.740005,154.279999,155.000000,154.373779,98944600
2023-03-20,155.070007,157.820007,154.149994,157.399994,156.764084,73641400
2023-03-21,157.320007,159.399994,156.539993,159.279999,158.636490,73938300
2023-03-22,159.300003,162.139999,157.809998,157.830002,157.192352,75701800
2023-03-23,158.830002,161.550003,157.679993,158.929993,158.287903,67622100
2023-03-24,158.860001,160.339996,157.850006,160.250000,159.602570,59196500
2023-03-27,159.940002,160.770004,157.869995,158.279999,157.640518,52390300
2023-03-28,157.970001,158.490005,155.979996,157.649994,157.013062,45992200
2023-03-29,159.369995,161.050003,159.350006,160.770004,160.120468,51305700
2023-03-30,161.529999,162.470001,161.270004,162.360001,161.704041,49501700
2023-03-31,162.440002,165.000000,161.910004,164.899994,164.233780,68749800
2023-04-03,164.270004,166.289993,164.220001,166.169998,165.498657,56976200
2023-04-04,166.600006,166.839996,165.110001,165.630005,164.960846,46278300
2023-04-05,164.740005,165.050003,161.800003,163.759995,163.098389,51511700
2023-04-06,162.429993,164.960007,162.000000,164.660004,163.994781,45390100
2023-04-10,161.419998,162.029999,160.080002,162.029999,161.375381,47716900
2023-04-11,162.350006,162.360001,160.509995,160.800003,160.150360,47644200
2023-04-12,161.220001,162.059998,159.779999,160.100006,159.453201,50133100
2023-04-13,161.630005,165.800003,161.419998,165.559998,164.891113,68445600
